,e_enzyme,e_enzyme_composition_string,m_reaction
0,CYTDEAM-MONOMER,b0337(1),CSND
1,NUPG-MONOMER,b2964(1),ADNt2pp
2,NUPC-MONOMER,b2393(1),ADNt2pp
3,PPPGPPHYDRO-CPLX,b3779(2),GTPDPDP
4,EG11817-MONOMER,b2744(1),NTD10
5,EG11817-MONOMER,b2744(1),NTD11
6,EG11817-MONOMER,b2744(1),NTD12
7,CPLX0-7625,b2291(2),NTD12
8,EG11082-MONOMER,b0030(1),XTSNH
9,AROG-CPLX,b0754(4),DDPA
10,AROF-CPLX,b2601(2),DDPA
11,AROH-CPLX,b1704(2),DDPA
12,CPLX0-7533,b2215(3),Htex
13,G6700-MONOMER,b1377(1),Htex
14,CPLX0-7530,b0241(3),Htex
15,CPLX0-7534,b0929(3),Htex
16,PUTA-CPLX,b1014(2),P5CD
17,CPLX0-235,b3553(2),2DGULRy
18,CPLX0-235,b3553(2),2DGULRx
19,CPLX-165,b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1),GAMptspp
20,CPLX0-7533,b2215(3),XANtex
21,CPLX0-7530,b0241(3),XANtex
22,G6700-MONOMER,b1377(1),XANtex
23,CPLX0-7534,b0929(3),XANtex
24,GLUTATHIONE-REDUCT-NADPH-CPLX,b3500(2),GTHOr
25,CPLX0-7720,b2258() AND b4544(),ULA4Ntppi
26,CPLX0-7655,b4036(3),GLCtexi
27,CPLX0-1962,b1539(4),MSAR
28,G6519-MONOMER,b1008(1),MSAR
29,AMPG-MONOMER,b0433(1),AGM4Pt2pp
30,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,b4040(1),HBZOPT
31,CPLX0-7533,b2215(3),LEUtex
32,CPLX0-7530,b0241(3),LEUtex
33,G6700-MONOMER,b1377(1),LEUtex
34,CPLX0-7534,b0929(3),LEUtex
35,CPLX0-7533,b2215(3),ALAALAtex
36,CPLX0-7530,b0241(3),ALAALAtex
37,G6700-MONOMER,b1377(1),ALAALAtex
38,CPLX0-7534,b0929(3),ALAALAtex
39,CPLX0-7533,b2215(3),LYStex
40,CPLX0-7530,b0241(3),LYStex
41,G6700-MONOMER,b1377(1),LYStex
42,CPLX0-7534,b0929(3),LYStex
43,CPLX0-7533,b2215(3),ORNtex
44,CPLX0-7530,b0241(3),ORNtex
45,G6700-MONOMER,b1377(1),ORNtex
46,CPLX0-7534,b0929(3),ORNtex
47,EG12455-MONOMER,b2835(1),2AGPG141tipp
48,CPLX0-7533,b2215(3),SERtex
49,CPLX0-7530,b0241(3),SERtex
50,G6700-MONOMER,b1377(1),SERtex
51,CPLX0-7534,b0929(3),SERtex
52,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,b0662(1),OMMBLHX
53,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,b2907(1),OMPHHX
54,PANTOATE-BETA-ALANINE-LIG-CPLX,b0133(2),PANTS
55,GAPDH-A-CPLX,b1779(4),E4PD
56,ERYTH4PDEHYDROG-CPLX,b2927(4),E4PD
57,MONOMER0-341,b3821(1),PLIPA2A180pp
58,TREHALAPERI-MONOMER,b1197(1),TREHpp
59,CAIC-MONOMER,b0037(1),CTBTCAL2
60,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD1f
61,ACETOLACTSYNI-CPLX,b3671(2) AND b3670(2),ACLS
62,ACETOLACTSYNIII-CPLX,b0078(2) AND b0077(2),ACLS
63,YJGT-MONOMER,b4265(1),IDONt2rpp
64,CPLX0-7458,b4467() AND b4468() AND b2979(),GLYCTO4
65,EG10739-MONOMER,b3825(1),LPLIPAL2ATG120
66,CPLX0-7458,b4467() AND b4468() AND b2979(),GLYCTO3
67,CPLX0-7458,b4467() AND b4468() AND b2979(),GLYCTO2
68,CPLX0-7533,b2215(3),O2Stex
69,CPLX0-7530,b0241(3),O2Stex
70,CPLX0-7534,b0929(3),O2Stex
71,G6700-MONOMER,b1377(1),O2Stex
72,RHAT-MONOMER,b3907(1),LYXt2pp
73,DEOD-CPLX,b4384(6),PUNP1
74,AAS-MONOMER,b2836(1),2AGPEAT181
75,AAS-MONOMER,b2836(1),2AGPEAT180
76,CPLX0-1401,b2871(2),DAPAL
77,PGPPHOSPHAB-MONOMER,b1278(1),PAPA181pp
78,YHHO-MONOMER,b3469(1),COBALT2abcpp
79,CYT-O-UBIOX-CPLX,b0429(1) AND b0431(1) AND b0430(1) AND b0432(1),CYTBO3_4pp
80,CPLX0-7533,b2215(3),UMPtex
81,G6700-MONOMER,b1377(1),UMPtex
82,CPLX0-7530,b0241(3),UMPtex
83,CPLX0-7534,b0929(3),UMPtex
84,B2789-MONOMER,b2789(1),GALCTt2rpp
85,YHAU-MONOMER,b3127(1),GALCTt2rpp
86,EG10739-MONOMER,b3825(1),LPLIPAL2G140
87,EG10739-MONOMER,b3825(1),LPLIPAL2G141
88,CPLX0-7704,b0914(2),PA160abcpp
89,ASL-MONOMER,b1131(1),ADSL2r
90,CYCA-MONOMER,b4208(1),DSERt2pp
91,NACGLCTRANS-MONOMER,b0090(1),UAGPT3
92,ASPAMINOTRANS-DIMER,b0928(2),ASPTA
93,GARTRANSFORMYL2-MONOMER,b1849(1),GART
94,DCYSDESULF-CPLX,b1919(2),CYSDDS
95,HMP-P-KIN-CPLX,b2103(4),PMPK
96,CPLX0-7533,b2215(3),GAMAN6Ptex
97,CPLX0-7530,b0241(3),GAMAN6Ptex
98,G6700-MONOMER,b1377(1),GAMAN6Ptex
99,CPLX0-7534,b0929(3),GAMAN6Ptex
100,PHENPRODIOLDEHYDROG-MONOMER,b2541(1),DHCIND
101,CPLX0-7533,b2215(3),34dhpactex
102,CPLX0-7530,b0241(3),34dhpactex
103,G6700-MONOMER,b1377(1),34dhpactex
104,CPLX0-7534,b0929(3),34dhpactex
105,CPLX0-7642,b4111(2),CTBTt2rpp
106,EG10201-MONOMER,b0632(1),MDDCP2pp
107,EG10202-MONOMER,b3182(1),MDDCP2pp
108,EG10203-MONOMER,b0839(1),MDDCP2pp
109,RPOA-MONOMER,b2010(1),MDDCP2pp
110,CPLX0-7533,b2215(3),UDPACGALtex
111,CPLX0-7530,b0241(3),UDPACGALtex
112,G6700-MONOMER,b1377(1),UDPACGALtex
113,CPLX0-7534,b0929(3),UDPACGALtex
114,CPLX0-7533,b2215(3),INDOLEtex
115,CPLX0-7530,b0241(3),INDOLEtex
116,G6700-MONOMER,b1377(1),INDOLEtex
117,CPLX0-7534,b0929(3),INDOLEtex
118,BRANCHED-CHAINAMINOTRANSFER-CPLX,b3770(6),LEUTAi
119,TYRB-DIMER,b4054(2),LEUTAi
120,CPLX0-7533,b2215(3),3AMPtex
121,CPLX0-7530,b0241(3),3AMPtex
122,G6700-MONOMER,b1377(1),3AMPtex
123,CPLX0-7534,b0929(3),3AMPtex
124,PYRROLINECARBREDUCT-CPLX,b0386(10),P5CR
125,FUCULOKIN-MONOMER,b2803(1),FCLK
126,G6986-MONOMER,b1800(1),MALDDH
127,MONOMER0-341,b3821(1),PLIPA1A181pp
128,EG12455-MONOMER,b2835(1),2AGPG120tipp
129,CPLX0-7744,b4196(2),KG6PDC
130,EG12285-MONOMER,b3581(1),KG6PDC
131,CYNX-MONOMER,b0341(1),CYNTt2pp
132,CPLX0-1669,b1701(2),FACOAL160t2pp
133,ACYLCOASYN-CPLX,b1805(2),FACOAL160t2pp
134,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,b0134(10),MOHMT
135,DIHYDRODIPICSYN-CPLX,b2478(4),DHDPS
136,CPLX0-7533,b2215(3),ACtex
137,CPLX0-7530,b0241(3),ACtex
138,G6700-MONOMER,b1377(1),ACtex
139,CPLX0-7534,b0929(3),ACtex
140,CFA-CPLX,b1661(2),CFAS180E
141,GLYOHMETRANS-CPLX,b2551(2),ALATA_D2
142,LTAA-CPLX,b0870(4),ALATA_D2
143,CFA-CPLX,b1661(2),CFAS180G
144,GSAAMINOTRANS-CPLX,b0154(2),G1SAT
145,PGLUCONDEHYDRAT-MONOMER,b1851(1),EDD
146,1-PFK,b2168(2),FRUK
147,CPLX0-7533,b2215(3),GALBDtex
